movie_title,genre_type
"Monsters, Inc.",Family
"Monsters, Inc.",Fantasy
The Wolverine,Action
The Wolverine,Adventure
The Wolverine,Sci-Fi
The Wolverine,Thriller
Star Wars: Episode I - The Phantom Menace,Action
Star Wars: Episode I - The Phantom Menace,Adventure
Star Wars: Episode I - The Phantom Menace,Fantasy
Star Wars: Episode I - The Phantom Menace,Sci-Fi
The Croods,Adventure
The Croods,Animation
The Croods,Comedy
The Croods,Family
The Croods,Fantasy
Windtalkers,Action
Windtalkers,Drama
Windtalkers,War
The Huntsman: Winter's War,Action
The Huntsman: Winter's War,Adventure
The Huntsman: Winter's War,Drama
The Huntsman: Winter's War,Fantasy
Teenage Mutant Ninja Turtles,Action
Teenage Mutant Ninja Turtles,Adventure
Teenage Mutant Ninja Turtles,Comedy
Teenage Mutant Ninja Turtles,Sci-Fi
Gravity,Adventure
Gravity,Drama
Gravity,Sci-Fi
Gravity,Thriller
Dante's Peak,Action
Dante's Peak,Adventure
Dante's Peak,Thriller
Teenage Mutant Ninja Turtles: Out of the Shadows,Action
Teenage Mutant Ninja Turtles: Out of the Shadows,Adventure
Teenage Mutant Ninja Turtles: Out of the Shadows,Comedy
Teenage Mutant Ninja Turtles: Out of the Shadows,Sci-Fi
Fantastic Four,Action
Fantastic Four,Adventure
Fantastic Four,Sci-Fi
Night at the Museum,Action
Night at the Museum,Adventure
Night at the Museum,Comedy
Night at the Museum,Family
Night at the Museum,Fantasy
San Andreas,Action
San Andreas,Adventure
San Andreas,Drama
San Andreas,Thriller
Tomorrow Never Dies,Action
Tomorrow Never Dies,Adventure
Tomorrow Never Dies,Thriller
The Patriot,Action
The Patriot,Drama
The Patriot,History
The Patriot,War
Ocean's Twelve,Crime
Ocean's Twelve,Thriller
Mr. & Mrs. Smith,Action
Mr. & Mrs. Smith,Comedy
Mr. & Mrs. Smith,Crime
Mr. & Mrs. Smith,Romance
Mr. & Mrs. Smith,Thriller
Insurgent,Adventure
Insurgent,Sci-Fi
Insurgent,Thriller
The Aviator,Biography
The Aviator,Drama
Gulliver's Travels,Adventure
Gulliver's Travels,Comedy
Gulliver's Travels,Family
Gulliver's Travels,Fantasy
The Green Hornet,Action
The Green Hornet,Comedy
The Green Hornet,Crime
The Green Hornet,Sci-Fi
The Green Hornet,Thriller
300: Rise of an Empire,Action
300: Rise of an Empire,Drama
300: Rise of an Empire,Fantasy
300: Rise of an Empire,War
The Smurfs,Adventure
The Smurfs,Animation
The Smurfs,Comedy
The Smurfs,Family
The Smurfs,Fantasy
Home on the Range,Animation
Home on the Range,Comedy
Home on the Range,Family
Home on the Range,Music
Home on the Range,Western
Allegiant,Action
Allegiant,Adventure
Allegiant,Mystery
Allegiant,Sci-Fi
Allegiant,Thriller
Real Steel,Action
Real Steel,Drama
Real Steel,Sci-Fi
Real Steel,Sport
The Smurfs 2,Adventure
