movie_title,actor_name
The Revenant,Leonardo DiCaprio
The Revenant,Tom Hardy
The Revenant,Lukas Haas
Turbo,Ryan Reynolds
Turbo,Snoop Dogg
Turbo,Ben Schwartz
Rango,Johnny Depp
Rango,Ray Winstone
Rango,Stephen Root
Penguins of Madagascar,Benedict Cumberbatch
Penguins of Madagascar,Annet Mahendru
Penguins of Madagascar,Andy Richter
The Bourne Ultimatum,Matt Damon
The Bourne Ultimatum,Edgar Ramírez
The Bourne Ultimatum,Albert Finney
Kung Fu Panda,Angelina Jolie Pitt
Kung Fu Panda,Wayne Knight
Kung Fu Panda,Dan Fogler
Ant-Man,Judy Greer
Ant-Man,Hayley Atwell
Ant-Man,T.I.
The Hunger Games: Catching Fire,Jennifer Lawrence
The Hunger Games: Catching Fire,Josh Hutcherson
The Hunger Games: Catching Fire,Sandra Ellis Lafferty
Home,Jim Parsons
Home,Matt Jones
Home,April Winchell
War of the Worlds,Tom Cruise
War of the Worlds,Lisa Ann Walter
War of the Worlds,Rick Gonzalez
Bad Boys II,Will Smith
Bad Boys II,Henry Rollins
Bad Boys II,Jordi Mollà
Puss in Boots,Salma Hayek
Puss in Boots,Constance Marie
Puss in Boots,Amy Sedaris
Salt,Angelina Jolie Pitt
Salt,Andre Braugher
Salt,August Diehl
Noah,Anthony Hopkins
Noah,Emma Watson
Noah,Logan Lerman
The Adventures of Tintin,Toby Jones
The Adventures of Tintin,Mackenzie Crook
The Adventures of Tintin,Tony Curran
Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe
Harry Potter and the Prisoner of Azkaban,Gary Oldman
Harry Potter and the Prisoner of Azkaban,Rupert Grint
Australia,Essie Davis
Australia,Bryan Brown
Australia,Eddie Baroo
After Earth,Will Smith
After Earth,Zoë Kravitz
After Earth,Glenn Morshower
Dinosaur,Alfre Woodard
Dinosaur,D.B. Sweeney
Dinosaur,Della Reese
Night at the Museum: Secret of the Tomb,Robin Williams
Night at the Museum: Secret of the Tomb,Rami Malek
Night at the Museum: Secret of the Tomb,Steve Coogan
Megamind,J.K. Simmons
Megamind,Brad Pitt
Megamind,Will Ferrell
Harry Potter and the Sorcerer's Stone,Daniel Radcliffe
Harry Potter and the Sorcerer's Stone,Fiona Shaw
Harry Potter and the Sorcerer's Stone,Verne Troyer
R.I.P.D.,Ryan Reynolds
R.I.P.D.,Jeff Bridges
R.I.P.D.,Stephanie Szostak
Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp
Pirates of the Caribbean: The Curse of the Black Pearl,Orlando Bloom
Pirates of the Caribbean: The Curse of the Black Pearl,Jack Davenport
The Hunger Games: Mockingjay - Part 1,Jennifer Lawrence
The Hunger Games: Mockingjay - Part 1,Philip Seymour Hoffman
The Hunger Games: Mockingjay - Part 1,Josh Hutcherson
The Da Vinci Code,Tom Hanks
The Da Vinci Code,Seth Gabel
The Da Vinci Code,Jürgen Prochnow
Rio 2,Miguel Ferrer
Rio 2,Rachel Crow
Rio 2,Jeffrey Garcia
X-Men 2,Hugh Jackman
X-Men 2,Bruce Davison
X-Men 2,Aaron Stanford
Fast Five,Paul Walker
Fast Five,Vin Diesel
Fast Five,Dwayne Johnson
Sherlock Holmes: A Game of Shadows,Robert Downey Jr.
Sherlock Holmes: A Game of Shadows,Eddie Marsan
Sherlock Holmes: A Game of Shadows,Paul Anderson
Clash of the Titans,Liam Neeson
Clash of the Titans,Jason Flemyng
Clash of the Titans,Alexa Davalos
Total Recall,Ronny Cox
Total Recall,Rachel Ticotin
Total Recall,Marshall Bell
The 13th Warrior,Tony Curran
The 13th Warrior,Vladimir Kulich
The 13th Warrior,Clive Russell
The Bourne Legacy,Jeremy Renner
The Bourne Legacy,Scott Glenn
The Bourne Legacy,Stacy Keach
Batman & Robin,Michael Gough
Batman & Robin,Vivica A. Fox
Batman & Robin,John Glover
How the Grinch Stole Christmas,Clint Howard
How the Grinch Stole Christmas,T.J. Thyne
How the Grinch Stole Christmas,Molly Shannon
The Day After Tomorrow,Jake Gyllenhaal
The Day After Tomorrow,Dennis Quaid
The Day After Tomorrow,Sela Ward
Mission: Impossible II,Tom Cruise
Mission: Impossible II,Dougray Scott
Mission: Impossible II,Richard Roxburgh
The Perfect Storm,Karen Allen
The Perfect Storm,Mary Elizabeth Mastrantonio
The Perfect Storm,Bob Gunton
Fantastic 4: Rise of the Silver Surfer,Chris Evans
Fantastic 4: Rise of the Silver Surfer,Ioan Gruffudd
Fantastic 4: Rise of the Silver Surfer,Andre Braugher
Life of Pi,Suraj Sharma
Life of Pi,Rafe Spall
Life of Pi,Tabu
Ghost Rider,Nicolas Cage
Ghost Rider,Matt Long
Ghost Rider,Peter Fonda
Jason Bourne,Matt Damon
Jason Bourne,Riz Ahmed
Jason Bourne,Ato Essandoh
Charlie's Angels: Full Throttle,Demi Moore
Charlie's Angels: Full Throttle,Bernie Mac
Charlie's Angels: Full Throttle,Justin Theroux
Prometheus,Michael Fassbender
Prometheus,Charlize Theron
Prometheus,Sean Harris
Stuart Little 2,Nathan Lane
Stuart Little 2,Brad Garrett
Stuart Little 2,Melanie Griffith
Elysium,Matt Damon
Elysium,Sharlto Copley
Elysium,Alice Braga
The Chronicles of Riddick,Vin Diesel
The Chronicles of Riddick,Alexa Davalos
The Chronicles of Riddick,Christina Cox
RoboCop,Gary Oldman
RoboCop,Abbie Cornish
RoboCop,Jennifer Ehle
Speed Racer,Scott Porter
Speed Racer,Kick Gurry
Speed Racer,Nicholas Elia
How Do You Know,Shelley Conn
How Do You Know,Domenick Lombardozzi
How Do You Know,Teyonah Parris
Knight and Day,Tom Cruise
Knight and Day,Marc Blucas
Knight and Day,Jordi Mollà
Oblivion,Morgan Freeman
Oblivion,Tom Cruise
Oblivion,Zoë Bell
Star Wars: Episode III - Revenge of the Sith,Natalie Portman
Star Wars: Episode III - Revenge of the Sith,Christopher Lee
Star Wars: Episode III - Revenge of the Sith,Hayden Christensen
Star Wars: Episode II - Attack of the Clones,Natalie Portman
Star Wars: Episode II - Attack of the Clones,Christopher Lee
Star Wars: Episode II - Attack of the Clones,Hayden Christensen
"Monsters, Inc.",Steve Buscemi
"Monsters, Inc.",John Ratzenberger
"Monsters, Inc.",James Coburn
The Wolverine,Hugh Jackman
The Wolverine,Tao Okamoto
The Wolverine,Rila Fukushima
Star Wars: Episode I - The Phantom Menace,Natalie Portman
Star Wars: Episode I - The Phantom Menace,Liam Neeson
Star Wars: Episode I - The Phantom Menace,Ian McDiarmid
The Croods,Ryan Reynolds
The Croods,Emma Stone
The Croods,Nicolas Cage
Windtalkers,Nicolas Cage
Windtalkers,Roger Willie
Windtalkers,Noah Emmerich
The Huntsman: Winter's War,Chris Hemsworth
The Huntsman: Winter's War,Sam Claflin
The Huntsman: Winter's War,Charlize Theron
Teenage Mutant Ninja Turtles,Noel Fisher
Teenage Mutant Ninja Turtles,Danny Woodburn
Teenage Mutant Ninja Turtles,Jeremy Howard
Gravity,Phaldut Sharma
Gravity,Basher Savage
Gravity,Amy Warren
Dante's Peak,Jamie Renée Smith
Dante's Peak,Grant Heslov
Dante's Peak,Tzi Ma
Teenage Mutant Ninja Turtles: Out of the Shadows,Stephen Amell
Teenage Mutant Ninja Turtles: Out of the Shadows,Noel Fisher
Teenage Mutant Ninja Turtles: Out of the Shadows,Brad Garrett
Fantastic Four,Tim Blake Nelson
Fantastic Four,Reg E. Cathey
Fantastic Four,Tim Heidecker
Night at the Museum,Robin Williams
Night at the Museum,Rami Malek
Night at the Museum,Steve Coogan
San Andreas,Dwayne Johnson
San Andreas,Ioan Gruffudd
San Andreas,Archie Panjabi
Tomorrow Never Dies,Vincent Schiavelli
Tomorrow Never Dies,Colin Salmon
Tomorrow Never Dies,Joe Don Baker
The Patriot,Heath Ledger
The Patriot,Adam Baldwin
The Patriot,Tom Wilkinson
Ocean's Twelve,Brad Pitt
Ocean's Twelve,Julia Roberts
Ocean's Twelve,Mini Anden
Mr. & Mrs. Smith,Brad Pitt
