movie_title,title_year,language,country,duration,content_rating,movie_imdb_link,director_name,imdb_score,num_voted_users,gross
Thor,2011,English,USA,115.0,PG-13,http://www.imdb.com/title/tt0800369/?ref_=fn_tt_tt_1,Kenneth Branagh,7.0,536314,181015141.0
Bolt,2008,English,USA,96.0,PG,http://www.imdb.com/title/tt0397892/?ref_=fn_tt_tt_1,Byron Howard,6.9,146766,114053579.0
G-Force,2009,English,USA,88.0,PG,http://www.imdb.com/title/tt0436339/?ref_=fn_tt_tt_1,Hoyt Yeatman,5.1,33042,119420252.0
Wrath of the Titans,2012,English,USA,99.0,PG-13,http://www.imdb.com/title/tt1646987/?ref_=fn_tt_tt_1,Jonathan Liebesman,5.8,152826,83640426.0
Dark Shadows,2012,English,USA,113.0,PG-13,http://www.imdb.com/title/tt1077368/?ref_=fn_tt_tt_1,Tim Burton,6.2,199039,79711678.0
Mission: Impossible - Rogue Nation,2015,English,China,131.0,PG-13,http://www.imdb.com/title/tt2381249/?ref_=fn_tt_tt_1,Christopher McQuarrie,7.4,232187,195000874.0
The Wolfman,2010,English,USA,119.0,R,http://www.imdb.com/title/tt0780653/?ref_=fn_tt_tt_1,Joe Johnston,5.8,89442,61937495.0
Bee Movie,2007,English,USA,91.0,PG,http://www.imdb.com/title/tt0389790/?ref_=fn_tt_tt_1,Steve Hickner,6.2,105902,126597121.0
Kung Fu Panda 2,2011,English,USA,90.0,PG,http://www.imdb.com/title/tt1302011/?ref_=fn_tt_tt_1,Jennifer Yuh Nelson,7.3,182718,165230261.0
The Last Airbender,2010,English,USA,103.0,PG,http://www.imdb.com/title/tt0938283/?ref_=fn_tt_tt_1,M. Night Shyamalan,4.2,118951,131564731.0
Mission: Impossible III,2006,English,USA,124.0,PG-13,http://www.imdb.com/title/tt0317919/?ref_=fn_tt_tt_1,J.J. Abrams,6.9,256695,133382309.0
White House Down,2013,English,USA,131.0,PG-13,http://www.imdb.com/title/tt2334879/?ref_=fn_tt_tt_1,Roland Emmerich,6.4,164238,73103784.0
Mars Needs Moms,2011,English,USA,88.0,PG,http://www.imdb.com/title/tt1305591/?ref_=fn_tt_tt_1,Simon Wells,5.4,17590,21379315.0
Flushed Away,2006,English,UK,85.0,PG,http://www.imdb.com/title/tt0424095/?ref_=fn_tt_tt_1,David Bowers,6.7,85086,64459316.0
Pan,2015,English,USA,111.0,PG,http://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1,Joe Wright,5.8,39956,34964818.0
Mr. Peabody & Sherman,2014,English,USA,92.0,PG,http://www.imdb.com/title/tt0864835/?ref_=fn_tt_tt_1,Rob Minkoff,6.9,47900,111505642.0
Troy,2004,English,USA,196.0,R,http://www.imdb.com/title/tt0332452/?ref_=fn_tt_tt_1,Wolfgang Petersen,7.2,381672,133228348.0
Madagascar 3: Europe's Most Wanted,2012,English,USA,93.0,PG,http://www.imdb.com/title/tt1277953/?ref_=fn_tt_tt_1,Eric Darnell,6.9,119213,216366733.0
Die Another Day,2002,English,UK,133.0,PG-13,http://www.imdb.com/title/tt0246460/?ref_=fn_tt_tt_1,Lee Tamahori,6.1,169914,160201106.0
Ghostbusters,2016,English,USA,116.0,PG-13,http://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1,Paul Feig,5.5,69757,118099659.0
Armageddon,1998,English,USA,153.0,PG-13,http://www.imdb.com/title/tt0120591/?ref_=fn_tt_tt_1,Michael Bay,6.6,322395,201573391.0
Men in Black II,2002,English,USA,88.0,PG-13,http://www.imdb.com/title/tt0120912/?ref_=fn_tt_tt_1,Barry Sonnenfeld,6.1,270207,190418803.0
Beowulf,2007,English,USA,115.0,PG-13,http://www.imdb.com/title/tt0442933/?ref_=fn_tt_tt_1,Robert Zemeckis,6.3,142440,82161969.0
Kung Fu Panda 3,2016,English,USA,95.0,PG,http://www.imdb.com/title/tt2267968/?ref_=fn_tt_tt_1,Alessandro Carloni,7.2,64322,143523463.0
Mission: Impossible - Ghost Protocol,2011,English,USA,133.0,PG-13,http://www.imdb.com/title/tt1229238/?ref_=fn_tt_tt_1,Brad Bird,7.4,365104,209364921.0
Rise of the Guardians,2012,English,USA,97.0,PG,http://www.imdb.com/title/tt1446192/?ref_=fn_tt_tt_1,Peter Ramsey,7.3,123553,103400692.0
Fun with Dick and Jane,2005,English,USA,90.0,PG-13,http://www.imdb.com/title/tt0369441/?ref_=fn_tt_tt_1,Dean Parisot,6.1,110788,110332737.0
The Last Samurai,2003,English,USA,154.0,R,http://www.imdb.com/title/tt0325710/?ref_=fn_tt_tt_1,Edward Zwick,7.7,317166,111110575.0
Exodus: Gods and Kings,2014,English,UK,150.0,PG-13,http://www.imdb.com/title/tt1528100/?ref_=fn_tt_tt_1,Ridley Scott,6.1,128682,65007045.0
Star Trek,2009,English,USA,127.0,PG-13,http://www.imdb.com/title/tt0796366/?ref_=fn_tt_tt_1,J.J. Abrams,8.0,504419,257704099.0
Spider-Man,2002,English,USA,121.0,PG-13,http://www.imdb.com/title/tt0145487/?ref_=fn_tt_tt_1,Sam Raimi,7.3,544665,403706375.0
How to Train Your Dragon 2,2014,English,USA,102.0,PG,http://www.imdb.com/title/tt1646971/?ref_=fn_tt_tt_1,Dean DeBlois,7.9,221128,176997107.0
Gods of Egypt,2016,English,USA,126.0,PG-13,http://www.imdb.com/title/tt2404233/?ref_=fn_tt_tt_1,Alex Proyas,5.5,51892,31141074.0
